"x","y","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-86.5958284624202,13.3375038249112,183.25,98.3333333333333,69.7399527186761,1178.69342147065,253,112,141,189.5,179.166666666667,195.833333333333,170.5,2331,458,31,72.2116827700723,966,146,868,254
-86.5541617935769,11.9208370842934,278.333333333333,104.333333333333,72.960372960373,884.033456106245,355,212,143,271.333333333333,278.166666666667,290.833333333333,268.5,1465,365,0,108.206685971222,643,3,204,448
-85.8958284258521,13.89583718739,235.791666666667,115.916666666667,71.5534979423868,1229.46003176068,317,155,162,241.833333333333,235.166666666667,249.5,222.333333333333,1585,239,20,67.1274009181139,695,86,397,201
-84.795828368388,13.2875038223012,252.541666666667,92.0833333333333,72.50656167979,883.29402428259,317,190,127,256.333333333333,252,261.166666666667,243,2755,456,49,63.105460075016,1270,174,672,391
-86.6708284663382,12.645837122139,270.916666666667,112.666666666667,73.6383442265795,925.112605758528,353,200,153,264.333333333333,269.5,284,261.5,1388,316,0,100.984467660724,610,8,212,385
-83.8958283213719,12.0125037557452,254.791666666667,76.75,73.0952380952381,811.132298740844,307,202,105,258,253.333333333333,262.833333333333,246.666666666667,4857,842,96,54.4586844533405,2112,377,1127,941
-83.4124949627892,14.5958372239305,249.416666666667,63.1666666666667,64.4557823129252,1115.15048583615,298,200,98,255.833333333333,243.5,257.833333333333,237.666666666667,2608,391,52,53.6819519393613,989,172,533,304
-83.8541616525286,14.6875038953822,243.833333333333,68.5,64.018691588785,1195.50927400938,297,190,107,248.833333333333,237.666666666667,252.5,231.5,2529,379,50,52.8389173523374,995,172,904,295
-86.4791617896589,12.645837122139,271.166666666667,111,73.5099337748344,910.627489285506,352,201,151,264.666666666667,269.5,284.166666666667,261.833333333333,1334,318,1,102.809866095606,615,8,202,366
-84.8291617034627,13.7541705133282,258.833333333333,93,73.2283464566929,853.158125952503,328,201,127,261.5,263.5,269.5,249.666666666667,2217,374,34,65.9647351393776,994,135,297,283
-84.5291616877906,12.5208371156139,249.625,85.75,72.0588235294118,867.631310470692,310,191,119,252.5,249.166666666667,258.5,241,2778,450,33,61.8549220810824,1233,135,593,470
-84.8874950398433,13.0958371456293,250.583333333333,93,71.5384615384615,967.384790728763,316,186,130,254.333333333333,248.666666666667,259.666666666667,241,2913,478,48,62.8110529959429,1334,175,667,436
-86.2958284467482,12.5708371182239,266.583333333333,108,72.972972972973,897.682200633015,346,198,148,260.5,264.5,279.166666666667,257.5,1164,282,1,103.668831065073,542,9,157,325
-84.0624949967452,12.0625037583552,254.958333333333,79.0833333333333,72.5535168195719,818.384865377402,310,201,109,257.5,254.5,263.333333333333,246.666666666667,5142,802,86,50.9524924602191,2116,402,1169,1003
-85.3458283971201,11.9041704167568,266.458333333333,96.0833333333333,72.2431077694235,843.816635976985,338,205,133,265.5,273.333333333333,278.666666666667,258.5,1407,286,4,90.3241824738927,642,20,138,385
